epoch,acc,loss,lr,val_acc,val_loss
0,0.02,4.47681694984436,0.01,2.25,19.355
1,0.02875,3.837889451980591,0.01,1.25,-9.8075
2,0.0275,3.5939674282073977,0.01,2.0,9.695
3,0.03375,3.421391706466675,0.01,2.25,-3.4025
4,0.0375,3.3651726818084717,0.01,3.5000000000000004,-5.26
5,0.041875,3.314614038467407,0.01,2.75,5.6475
6,0.05,3.281852684020996,0.01,3.0,-7.5925
7,0.04375,3.2244867706298828,0.01,3.5000000000000004,-6.6325
8,0.059375,3.2349841594696045,0.01,3.5000000000000004,-5.49
9,0.058125,3.2061687660217286,0.01,3.5000000000000004,-0.4675
10,0.070625,3.174205446243286,0.01,5.5,-5.3625
11,0.041875,3.3687066268920898,0.1,4.25,-11.6775
12,0.040625,3.3797080230712893,0.1,3.5000000000000004,-4.655
13,0.05625,3.322587127685547,0.1,4.5,1.4325
14,0.06625,3.2279168605804442,0.1,6.25,-2.035
15,0.058125,3.1804464626312257,0.1,3.5000000000000004,-7.205
16,0.071875,3.1614712619781495,0.1,5.0,-9.8275
17,0.0925,3.115491075515747,0.1,4.25,-6.5175
18,0.07375,3.1023308658599853,0.1,5.25,-6.175
19,0.085625,3.063014488220215,0.1,3.5000000000000004,-2.7875
20,0.10375,3.008441677093506,0.1,5.75,-5.3375
21,0.115,2.9799629497528075,0.1,7.000000000000001,2.195
22,0.10875,2.995207357406616,0.1,3.5000000000000004,-3.27
23,0.13,2.932123107910156,0.1,22.0,0.6175
24,0.13625,2.902899074554443,0.1,15.75,-0.93
25,0.140625,2.874498052597046,0.1,23.0,1.63
26,0.16375,2.826387481689453,0.1,23.0,-0.13
27,0.173125,2.7616167640686036,0.1,22.5,2.9725
28,0.18,2.7517635154724123,0.1,22.75,-0.2175
29,0.20625,2.70694317817688,0.1,22.0,1.04
30,0.211875,2.6531341075897217,0.1,28.499999999999996,2.9025
31,0.220625,2.6523633193969727,0.1,31.75,0.5275
32,0.195625,2.6464361190795898,0.1,25.75,2.445
33,0.2225,2.644219970703125,0.1,28.499999999999996,2.83
34,0.23,2.593845777511597,0.1,31.75,3.3725
35,0.244375,2.5707661151885985,0.1,32.0,4.3725
36,0.266875,2.509280881881714,0.1,34.0,0.89
37,0.25,2.5247216987609864,0.1,28.999999999999996,-2.1375
38,0.264375,2.5068631744384766,0.1,35.0,2.845
39,0.280625,2.4688654232025145,0.1,36.0,-2.2175
40,0.25875,2.4899989128112794,0.1,41.25,-0.3775
41,0.29875,2.4089682865142823,0.1,44.0,-4.1875
42,0.306875,2.396794719696045,0.1,39.0,0.41
43,0.2975,2.4353572845458986,0.1,40.75,-3.1825
44,0.32,2.3800273609161375,0.1,47.75,-0.7725
45,0.308125,2.3762380599975588,0.1,39.75,0.0725
46,0.311875,2.3593599510192873,0.1,48.0,-0.6525
47,0.3275,2.3302962303161623,0.1,46.25,-1.4375
48,0.32,2.313709535598755,0.1,41.5,1.305
49,0.33,2.3165503883361818,0.1,46.75,1.175
50,0.3375,2.282020540237427,0.1,44.0,0.17
51,0.361875,2.2460325813293456,0.1,44.25,-0.1825
52,0.360625,2.2618039798736573,0.1,45.5,1.1925
53,0.375,2.2126985597610473,0.1,49.5,2.195
54,0.335625,2.285447883605957,0.1,43.5,-1.265
55,0.36875,2.1986710357666017,0.1,47.75,-1.035
56,0.374375,2.190716094970703,0.1,54.0,-0.935
57,0.37875,2.210960865020752,0.1,50.5,-0.6
58,0.398125,2.153311643600464,0.1,50.24999999999999,0.5075
59,0.39375,2.1556657934188843,0.1,43.25,3.5875
60,0.37125,2.169253206253052,0.1,49.0,0.99
61,0.368125,2.17156174659729,0.1,53.75,1.0925
62,0.394375,2.171630959510803,0.1,56.25,0.375
63,0.40125,2.126282048225403,0.1,52.5,-1.2
64,0.405625,2.1211969089508056,0.1,46.5,1.4775
65,0.394375,2.112321491241455,0.1,56.99999999999999,-0.2275
66,0.4125,2.076628918647766,0.1,52.0,1.53
67,0.429375,2.064936566352844,0.1,49.75,1.085
68,0.428125,2.050995969772339,0.1,54.25,0.67
69,0.43,2.0633675909042357,0.1,62.5,0.6925
70,0.42875,2.0098709630966187,0.1,56.75,1.1375
71,0.42125,2.037296814918518,0.1,59.25,1.2575
72,0.449375,2.0377597999572754,0.1,58.75,-0.555
73,0.4375,2.025428466796875,0.1,55.00000000000001,-1.1725
74,0.440625,2.006969575881958,0.1,56.75,-0.1075
75,0.4225,2.0307056188583372,0.1,63.0,0.805
76,0.461875,1.9845089960098266,0.1,61.25000000000001,0.4625
77,0.4475,1.9749271154403687,0.1,62.74999999999999,-0.155
78,0.458125,1.9906799173355103,0.1,62.74999999999999,0.62
79,0.445625,1.983322401046753,0.1,64.0,0.5425
80,0.455,1.9512279748916626,0.1,62.74999999999999,1.3875
81,0.47375,1.9572183513641357,0.1,66.75,1.3725
82,0.470625,1.9439251613616944,0.1,60.25,-1.3975
83,0.44375,1.9989857244491578,0.1,59.75,1.3875
84,0.4425,1.9672675466537475,0.1,66.25,0.985
